"ID","PROFILE_ATTRIBUTE_ID","EVENT_CODE","SCORE","IS_REPEATABLE","IS_DELETED","CREATED_DATE","UPDATED_DATE"
1,1,1,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
2,1,2,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
3,2,1,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
5,28,1,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
6,28,2,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
9,41,1,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
10,41,2,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
11,10,4,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
12,21,4,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
13,39,6,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
14,39,7,50,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
15,46,7,50,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
16,46,8,50,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
17,2,9,50,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
18,6,9,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
19,7,9,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
20,16,9,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
21,36,9,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
22,25,3,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
23,5,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
24,6,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
25,7,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
26,15,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
27,16,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
28,34,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
29,36,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
30,43,10,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
31,4,11,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
32,5,11,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
33,6,11,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
34,7,13,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
35,16,13,25,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
36,15,12,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
37,18,12,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
38,36,12,25,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
39,43,15,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
40,13,14,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
41,4,16,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
42,5,16,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
43,4,17,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
44,19,15,50,0,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
45,28,18,5,1,0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"